Дата,Средняя
28/10/2019,25.2
29/10/2019,26.4
30/10/2019,28.6
31/10/2019,27.8
01/11/2019,27.4
02/11/2019,25.8
03/11/2019,26.3
04/11/2019,25.8
05/11/2019,24.2
06/11/2019,25.8
07/11/2019,26.1
08/11/2019,23.7
09/11/2019,23.0
10/11/2019,24.4
11/11/2019,25.1
12/11/2019,24.9
13/11/2019,25.3
14/11/2019,22.2
15/11/2019,22.0
16/11/2019,22.8
17/11/2019,22.9
18/11/2019,21.6
19/11/2019,20.7
20/11/2019,20.6
21/11/2019,22.8
22/11/2019,22.9
23/11/2019,23.3
24/11/2019,21.8
25/11/2019,23.1
26/11/2019,21.3
27/11/2019,21.5
28/11/2019,20.2
29/11/2019,19.0
30/11/2019,18.3
01/12/2019,19.5
02/12/2019,19.3
03/12/2019,17.7
04/12/2019,18.8
05/12/2019,19.2
06/12/2019,19.0
07/12/2019,17.7
08/12/2019,17.3
09/12/2019,17.6
10/12/2019,17.8
11/12/2019,19.6
12/12/2019,19.8
13/12/2019,15.6
14/12/2019,16.1
15/12/2019,15.9
16/12/2019,13.5
17/12/2019,12.8
18/12/2019,15.0
19/12/2019,16.9
20/12/2019,17.9
21/12/2019,18.7
22/12/2019,17.2
23/12/2019,17.0
24/12/2019,18.2
25/12/2019,15.7
26/12/2019,13.3
27/12/2019,13.6
28/12/2019,14.2
29/12/2019,13.9
30/12/2019,13.9
31/12/2019,14.0
01/01/2020,14.6
02/01/2020,15.6
03/01/2020,16.3
04/01/2020,15.4
05/01/2020,16.0
06/01/2020,17.5
07/01/2020,16.2
08/01/2020,13.8
09/01/2020,13.3
10/01/2020,13.1
11/01/2020,16.6
12/01/2020,18.4
13/01/2020,14.8
14/01/2020,14.1
15/01/2020,15.1
16/01/2020,12.8
17/01/2020,13.2
18/01/2020,15.1
19/01/2020,13.7
20/01/2020,15.3
21/01/2020,16.7
22/01/2020,16.8
23/01/2020,15.5
24/01/2020,14.8
25/01/2020,16.6
26/01/2020,17.9
27/01/2020,19.8
28/01/2020,16.4
29/01/2020,14.4
30/01/2020,16.1
31/01/2020,15.3
01/02/2020,15.5
02/02/2020,16.3
03/02/2020,16.7
04/02/2020,18.7
05/02/2020,18.2
06/02/2020,15.1
07/02/2020,17.3
08/02/2020,16.5
